created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweet_count,favorite_count,entities,extended_entities,favorited,retweeted,possibly_sensitive,lang
Tue Sep 30 23:59:50 +0000 2014,517101546111533056,517101546111533056,PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",78,74,,,false,false,false,en
Wed Oct 01 00:08:42 +0000 2014,517103776562286593,517103776562286593,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 00:18:34 +0000 2014,517106258642350081,517106258642350081,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 00:22:48 +0000 2014,517107324541239296,517107324541239296,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 00:28:26 +0000 2014,517108742307848192,517108742307848192,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 00:33:43 +0000 2014,517110071281475584,517110071281475584,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 00:34:24 +0000 2014,517110246431404033,517110246431404033,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 00:36:28 +0000 2014,517110766768361472,517110766768361472,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 00:37:52 +0000 2014,517111116627836930,517111116627836930,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 00:43:07 +0000 2014,517112436554752000,517112436554752000,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 00:50:15 +0000 2014,517114235353321472,517114235353321472,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 00:54:06 +0000 2014,517115204178817026,517115204178817026,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 00:56:25 +0000 2014,517115785471598593,517115785471598593,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 00:56:38 +0000 2014,517115841968881664,517115841968881664,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 00:59:23 +0000 2014,517116532443193344,517116532443193344,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:03:19 +0000 2014,517117521258745856,517117521258745856,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:04:13 +0000 2014,517117748007026688,517117748007026688,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:09:46 +0000 2014,517119143980851200,517119143980851200,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:14:16 +0000 2014,517120277395025920,517120277395025920,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:17:08 +0000 2014,517120999767019520,517120999767019520,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:21:57 +0000 2014,517122211094622208,517122211094622208,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:22:40 +0000 2014,517122391323844608,517122391323844608,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:25:22 +0000 2014,517123071568650241,517123071568650241,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:25:39 +0000 2014,517123142657908736,517123142657908736,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:26:52 +0000 2014,517123446803681280,517123446803681280,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:27:19 +0000 2014,517123563321430016,517123563321430016,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:27:59 +0000 2014,517123730007269376,517123730007269376,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:29:11 +0000 2014,517124031464878080,517124031464878080,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:29:37 +0000 2014,517124140651020288,517124140651020288,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:31:06 +0000 2014,517124512794411008,517124512794411008,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,true,en
Wed Oct 01 01:38:27 +0000 2014,517126364025995264,517126364025995264,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:39:51 +0000 2014,517126716985061376,517126716985061376,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:43:05 +0000 2014,517127528860106752,517127528860106752,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 01:47:14 +0000 2014,517128571920211968,517128571920211968,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 02:02:34 +0000 2014,517132430625353728,517132430625353728,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 02:16:45 +0000 2014,517136003828428800,517136003828428800,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 02:20:13 +0000 2014,517136874192637953,517136874192637953,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 02:24:59 +0000 2014,517138073222922241,517138073222922241,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 02:43:45 +0000 2014,517142798596706304,517142798596706304,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 02:44:47 +0000 2014,517143055779266561,517143055779266561,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 03:39:09 +0000 2014,517156737292333057,517156737292333057,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 05:09:01 +0000 2014,517179354783449088,517179354783449088,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 05:13:59 +0000 2014,517180605575208960,517180605575208960,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 05:57:18 +0000 2014,517191507053273090,517191507053273090,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 06:02:15 +0000 2014,517192750630838273,517192750630838273,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 12:57:27 +0000 2014,517297240243986432,517297240243986432,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 22:14:15 +0000 2014,517437362301722624,517437362301722624,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sat Oct 04 11:37:34 +0000 2014,518364300080324608,518364300080324608,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sat Oct 04 13:08:35 +0000 2014,518387206571180032,518387206571180032,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sat Oct 04 13:44:35 +0000 2014,518396266209095680,518396266209095680,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sat Oct 04 14:37:15 +0000 2014,518409517370187776,518409517370187776,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 21:36:57 +0000 2014,518877526031364096,518877526031364096,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 22:29:57 +0000 2014,518890864597553152,518890864597553152,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 22:33:28 +0000 2014,518891751554433025,518891751554433025,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 22:33:36 +0000 2014,518891784995627008,518891784995627008,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 22:40:10 +0000 2014,518893435819147264,518893435819147264,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 22:44:08 +0000 2014,518894432578711553,518894432578711553,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 22:48:26 +0000 2014,518895517670318080,518895517670318080,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 22:51:40 +0000 2014,518896331763748864,518896331763748864,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:06:09 +0000 2014,518899976366460928,518899976366460928,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:08:06 +0000 2014,518900464172417024,518900464172417024,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:13:56 +0000 2014,518901935999447040,518901935999447040,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:14:58 +0000 2014,518902194901647360,518902194901647360,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:15:33 +0000 2014,518902340871389184,518902340871389184,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:22:10 +0000 2014,518904005888454657,518904005888454657,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:22:36 +0000 2014,518904116815597568,518904116815597568,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:27:11 +0000 2014,518905267652935680,518905267652935680,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:39:39 +0000 2014,518908404879073280,518908404879073280,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:54:06 +0000 2014,518912042002956288,518912042002956288,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Mon Oct 06 00:17:05 +0000 2014,518917827865362432,518917827865362432,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Mon Oct 06 04:29:39 +0000 2014,518981387811315714,518981387811315714,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Mon Oct 06 04:36:45 +0000 2014,518983174735798272,518983174735798272,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Mon Oct 06 15:31:41 +0000 2014,519147992784580609,519147992784580609,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Tue Oct 07 00:55:05 +0000 2014,519289777024032768,519289777024032768,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
